ckpt,layer,n,auc_raw_encoder,auc_residualized,auc_shortcut_only,auc_drop_after_residualize
P8A,0,779,0.7456949862049282,0.8747230792231268,0.8301711132555012,-0.1290280930181985
P8A,3,779,0.9059692566970656,0.9613330252660479,0.8301711132555012,-0.055363768568982286
P8A,6,779,0.9927015235739429,0.9619514250377156,0.8301711132555012,0.030750098536227344
P8A,9,779,0.9779278850727808,0.947272924962964,0.8301711132555012,0.03065496010981683
P8A,11,779,0.9749038422333066,0.9347010614730147,0.8301711132555012,0.040202780760291934
E2B,0,779,0.7455726653709719,0.8748521956589694,0.8301711132555012,-0.12927953028799755
E2B,3,779,0.9275113146771409,0.9618630822131916,0.8301711132555012,-0.03435176753605074
E2B,6,779,0.9923821302852794,0.95798958913791,0.8301711132555012,0.03439254114736945
E2B,9,779,0.9822634790763418,0.9504668578495997,0.8301711132555012,0.031796621226742094
E2B,11,779,0.9946518613153568,0.947687456678038,0.8301711132555012,0.04696440463731877
P2D,0,779,0.7455658697690855,0.8747978308438777,0.8301711132555012,-0.1292319610747923
P2D,3,779,0.929019938295935,0.9622300447150604,0.8301711132555012,-0.03321010641912536
P2D,6,779,0.9934082661701347,0.9581119099718661,0.8301711132555012,0.03529635619826854
P2D,9,779,0.9806665126330238,0.9502358073854601,0.8301711132555012,0.03043070524756375
P2D,11,779,0.9920559413947293,0.9439158976310532,0.8301711132555012,0.04814004376367609
S1_step500,0,779,0.7457153730105875,0.8747162836212403,0.8301711132555012,-0.12900091061065277
S1_step500,3,779,0.909822362966688,0.9616796009622571,0.8301711132555012,-0.05185723799556918
S1_step500,6,779,0.9921374886173668,0.9620465634641261,0.8301711132555012,0.030090925153240744
S1_step500,9,779,0.9836565774630659,0.9466137515799775,0.8301711132555012,0.03704282588308838
S1_step500,11,779,0.9776492653954362,0.9338108376258886,0.8301711132555012,0.043838427769547605
S1_step2500,0,779,0.7454979137502209,0.8747638528344455,0.8301711132555012,-0.12926593908422457
S1_step2500,3,779,0.911140709732661,0.9614893241094362,0.8301711132555012,-0.05034861437677518
S1_step2500,6,779,0.9917569349117251,0.9584992592793944,0.8301711132555012,0.03325767563233073
S1_step2500,9,779,0.9801228644821072,0.9456419805102139,0.8301711132555012,0.034480883971893306
S1_step2500,11,779,0.9850836538592224,0.9344971934164209,0.8301711132555012,0.05058646044280146
S1_step4500,0,779,0.7455318917596532,0.8747570572325591,0.8301711132555012,-0.12922516547290597
S1_step4500,3,779,0.9124862389061799,0.9616796009622572,0.8301711132555012,-0.04919336205607738
S1_step4500,6,779,0.9926607499626242,0.9591720238661539,0.8301711132555012,0.033488726096470356
S1_step4500,9,779,0.9831469073215815,0.94685839324789,0.8301711132555012,0.03628851407369149
S1_step4500,11,779,0.9856952580290036,0.9406404175217798,0.8301711132555012,0.04505484050722375
S2_step500,0,779,0.7456881906030417,0.8747366704268997,0.8301711132555012,-0.12904847982385803
S2_step500,3,779,0.9059556654932928,0.9612786604509561,0.8301711132555012,-0.05532299495766335
S2_step500,6,779,0.9922054446362314,0.9619106514263968,0.8301711132555012,0.030294793209834636
S2_step500,9,779,0.9836769642687253,0.9468515976460036,0.8301711132555012,0.036825366622721734
S2_step500,11,779,0.9782880519727631,0.9371950473653451,0.8301711132555012,0.04109300460741805
S2_step2500,0,779,0.7456813950011552,0.8747230792231268,0.8301711132555012,-0.1290416842219716
S2_step2500,3,779,0.9046101363197738,0.9616320317490521,0.8301711132555012,-0.05702189542927827
S2_step2500,6,779,0.9929325740380825,0.9616728053603708,0.8301711132555012,0.03125976867771174
S2_step2500,9,779,0.9892017886024165,0.9500523261345257,0.8301711132555012,0.03914946246789075
S2_step2500,11,779,0.9834391182026994,0.9503921062288486,0.8301711132555012,0.03304701197385074
S2_step4500,0,779,0.7456813950011552,0.8747434660287862,0.8301711132555012,-0.129062071027631
S2_step4500,3,779,0.904582953912228,0.9617407613792353,0.8301711132555012,-0.05715780746700727
S2_step4500,6,779,0.9923277654701876,0.9611631352188863,0.8301711132555012,0.03116463025130134
S2_step4500,9,779,0.9882436087364258,0.9495222691873819,0.8301711132555012,0.03872133954904389
