ckpt,cohort,n,mean,p10,p50,p90,std
P8A,DOR_REAL_DEV,50,0.3309759759530425,0.01296909237280483,0.18096994608640665,0.904701989889145,0.34727566285552897
P8A,DOR_FAKE_DEV,78,0.9451037217409183,0.8893828988075256,0.9859395027160645,0.9937295615673064,0.11492129620124776
P8A,DOR_REAL_LOCKBOX,100,0.08415419374592599,0.00676747444085775,0.0192564763128757,0.26819252371788027,0.1579968596392888
P8A,NON_DOR_REAL_DEV,80,0.18366062835557387,0.005393156688660319,0.00981500186026095,0.8487838447093966,0.31979056530035715
P8A,NON_DOR_FAKE_DEV,80,0.7820047154556959,0.052416258119046606,0.9942297339439392,0.994626498222351,0.35557973264932774
E2B,DOR_REAL_DEV,50,0.29993975708261134,0.02203087862581014,0.223333865404129,0.8098016142845154,0.2939761257858058
E2B,DOR_FAKE_DEV,78,0.7222263749975425,0.422122186422348,0.7770093083381653,0.9359943985939027,0.2069160326361455
E2B,DOR_REAL_LOCKBOX,100,0.0951347335707396,0.0077416768763214,0.01996659301221365,0.31997450888156886,0.17185954029288245
E2B,NON_DOR_REAL_DEV,80,0.1561982953571714,0.00522397472523144,0.01333147520199415,0.6834422647953033,0.27448385604524805
E2B,NON_DOR_FAKE_DEV,80,0.7551407233055215,0.01079964907839889,0.9891113340854645,0.9955450177192688,0.3863176933506135
P2D,DOR_REAL_DEV,50,0.4707187521457672,0.261679258942604,0.4361089915037155,0.6763478815555574,0.17553570883584244
P2D,DOR_FAKE_DEV,78,0.4915555165364192,0.33035968542099,0.4893652945756912,0.6593295812606812,0.12400316608407054
P2D,DOR_REAL_LOCKBOX,100,0.2855700058862567,0.10037482902407642,0.26616738736629486,0.5276507675647736,0.1660616471051623
P2D,NON_DOR_REAL_DEV,80,0.13586556352674956,0.02170218527317046,0.033840687945485046,0.3962084770202651,0.20133349449744667
P2D,NON_DOR_FAKE_DEV,80,0.64910419867374,0.1995737552642822,0.7445454895496368,0.9752530574798584,0.2991610260554484
T3_SLOT2_step500,DOR_REAL_DEV,50,0.7185649788379669,0.3964646518230438,0.7631129622459412,0.9640485227108002,0.22879863997414307
T3_SLOT2_step500,DOR_FAKE_DEV,78,0.902283420929542,0.827207088470459,0.9385746717453003,0.9643533945083618,0.09682856723217335
T3_SLOT2_step500,DOR_REAL_LOCKBOX,100,0.42119881365448236,0.10950887054204941,0.41631172597408295,0.8230972945690156,0.25853456758196247
T3_SLOT2_step500,NON_DOR_REAL_DEV,80,0.2695233229547739,0.028712376952171326,0.13332845270633698,0.8767275750637057,0.300048072063074
T3_SLOT2_step500,NON_DOR_FAKE_DEV,80,0.8100966638885438,0.29143258035182956,0.9705598056316376,0.9753117024898529,0.2880465018787043
T3_SLOT2_step1000,DOR_REAL_DEV,50,0.6798124605417252,0.30636742413043977,0.708360105752945,0.97987459897995,0.25891355447973774
T3_SLOT2_step1000,DOR_FAKE_DEV,78,0.9479110584809229,0.9087172150611877,0.9735884666442871,0.987925785779953,0.07993204083239411
T3_SLOT2_step1000,DOR_REAL_LOCKBOX,100,0.4033796562813222,0.06762443371117116,0.32189755141735077,0.8340864062309267,0.28092423784453446
T3_SLOT2_step1000,NON_DOR_REAL_DEV,80,0.24971335708396508,0.013051462080329656,0.03354557044804096,0.8407081365585329,0.3377095696025209
T3_SLOT2_step1000,NON_DOR_FAKE_DEV,80,0.8272441187407822,0.23268875181674958,0.9900965392589569,0.9915794253349304,0.30963882301088386
T3_SLOT2_step1500,DOR_REAL_DEV,50,0.6364965200424194,0.19780817329883577,0.6675510704517365,0.9822319209575653,0.29470484965436416
T3_SLOT2_step1500,DOR_FAKE_DEV,78,0.873945700434538,0.7076246261596679,0.9176478981971741,0.9782382786273957,0.13228526860236225
T3_SLOT2_step1500,DOR_REAL_LOCKBOX,100,0.3804835657775402,0.038097735866904264,0.3467806875705719,0.782609921693802,0.281147005860249
T3_SLOT2_step1500,NON_DOR_REAL_DEV,80,0.23951888209558092,0.007083951681852341,0.029004095122218132,0.8698748409748082,0.3359417694426531
T3_SLOT2_step1500,NON_DOR_FAKE_DEV,80,0.7977137163630686,0.1735577315092087,0.9915012419223785,0.9944028496742249,0.33112545324564974
T3_SLOT2_step2500,DOR_REAL_DEV,50,0.5729530702531338,0.24110352098941804,0.5265951156616211,0.9419152796268464,0.2784205612790505
T3_SLOT2_step2500,DOR_FAKE_DEV,78,0.48913195218222266,0.22271204590797425,0.4555481821298599,0.8435102522373199,0.23552697750126786
T3_SLOT2_step2500,DOR_REAL_LOCKBOX,100,0.3435267411917448,0.03900170028209687,0.32428985834121704,0.7148018538951875,0.2520613983741513
T3_SLOT2_step2500,NON_DOR_REAL_DEV,80,0.23542569712153635,0.007099950360134244,0.043241990730166435,0.8874923527240761,0.3320257484863088
T3_SLOT2_step2500,NON_DOR_FAKE_DEV,80,0.7925889820675366,0.2929680049419403,0.9871941804885864,0.993908840417862,0.306907572728626
