ckpt,cohort,n,mean,p10,p50,p90,std
P8A,DOR_REAL_DEV,50,0.3309759759530425,0.01296909237280483,0.18096994608640665,0.904701989889145,0.34727566285552897
P8A,DOR_FAKE_DEV,78,0.9451037217409183,0.8893828988075256,0.9859395027160645,0.9937295615673064,0.11492129620124776
P8A,DOR_REAL_LOCKBOX,100,0.08415419374592599,0.00676747444085775,0.0192564763128757,0.26819252371788027,0.1579968596392888
P8A,NON_DOR_REAL_DEV,80,0.18366062835557387,0.005393156688660319,0.00981500186026095,0.8487838447093966,0.31979056530035715
P8A,NON_DOR_FAKE_DEV,80,0.7820047154556959,0.052416258119046606,0.9942297339439392,0.994626498222351,0.35557973264932774
E2B,DOR_REAL_DEV,50,0.29993975708261134,0.02203087862581014,0.223333865404129,0.8098016142845154,0.2939761257858058
E2B,DOR_FAKE_DEV,78,0.7222263749975425,0.422122186422348,0.7770093083381653,0.9359943985939027,0.2069160326361455
E2B,DOR_REAL_LOCKBOX,100,0.0951347335707396,0.0077416768763214,0.01996659301221365,0.31997450888156886,0.17185954029288245
E2B,NON_DOR_REAL_DEV,80,0.1561982953571714,0.00522397472523144,0.01333147520199415,0.6834422647953033,0.27448385604524805
E2B,NON_DOR_FAKE_DEV,80,0.7551407233055215,0.01079964907839889,0.9891113340854645,0.9955450177192688,0.3863176933506135
P2D,DOR_REAL_DEV,50,0.4707187521457672,0.261679258942604,0.4361089915037155,0.6763478815555574,0.17553570883584244
P2D,DOR_FAKE_DEV,78,0.4915555165364192,0.33035968542099,0.4893652945756912,0.6593295812606812,0.12400316608407054
P2D,DOR_REAL_LOCKBOX,100,0.2855700058862567,0.10037482902407642,0.26616738736629486,0.5276507675647736,0.1660616471051623
P2D,NON_DOR_REAL_DEV,80,0.13586556352674956,0.02170218527317046,0.033840687945485046,0.3962084770202651,0.20133349449744667
P2D,NON_DOR_FAKE_DEV,80,0.64910419867374,0.1995737552642822,0.7445454895496368,0.9752530574798584,0.2991610260554484
T3_SLOT1_step500,DOR_REAL_DEV,50,0.517925643324852,0.16599840074777603,0.4757644832134247,0.9385002017021179,0.2971926597628055
T3_SLOT1_step500,DOR_FAKE_DEV,78,0.7702816482155751,0.5377968132495881,0.8200588822364807,0.9383188426494599,0.1802543128634666
T3_SLOT1_step500,DOR_REAL_LOCKBOX,100,0.269230290055275,0.05425015166401863,0.20019583404064178,0.6230392038822175,0.21967698146923392
T3_SLOT1_step500,NON_DOR_REAL_DEV,80,0.20515921176411211,0.030727645196020604,0.05755234882235527,0.7876721084117896,0.2901660717368792
T3_SLOT1_step500,NON_DOR_FAKE_DEV,80,0.7384777820669115,0.0964208409190178,0.9620214700698853,0.9708907246589661,0.33556659462219507
T3_SLOT1_step1000,DOR_REAL_DEV,50,0.8114628630876541,0.5833408772945404,0.8634445071220398,0.973810738325119,0.1695601943307677
T3_SLOT1_step1000,DOR_FAKE_DEV,78,0.8548388018822058,0.6648105025291443,0.9078420400619507,0.9640956044197082,0.1321330051612621
T3_SLOT1_step1000,DOR_REAL_LOCKBOX,100,0.5867595361173152,0.24286127239465713,0.5702047049999237,0.9439621090888977,0.23854120542117124
T3_SLOT1_step1000,NON_DOR_REAL_DEV,80,0.19942883246112614,0.01845599729567766,0.05161130242049694,0.7038515508174897,0.277697292183718
T3_SLOT1_step1000,NON_DOR_FAKE_DEV,80,0.8137460876489058,0.3896091431379318,0.980012446641922,0.9829135715961457,0.2791593557740128
T3_SLOT1_step1500,DOR_REAL_DEV,50,0.47872648909688,0.07851436138153076,0.43630093336105347,0.9096669912338258,0.3211635266488578
T3_SLOT1_step1500,DOR_FAKE_DEV,78,0.6679534594982098,0.4030269205570221,0.6760649681091309,0.939380133152008,0.21493536906932076
T3_SLOT1_step1500,DOR_REAL_LOCKBOX,100,0.23527530808001756,0.016755604930222035,0.17316798865795135,0.5097556710243226,0.2172900784240352
T3_SLOT1_step1500,NON_DOR_REAL_DEV,80,0.14599052458652295,0.007697545411065221,0.012235459871590137,0.6212771475315096,0.26547808493205083
T3_SLOT1_step1500,NON_DOR_FAKE_DEV,80,0.7764160079648719,0.15629301816225052,0.9860129356384277,0.9920624911785125,0.32996004240385746
T3_SLOT1_step2500,DOR_REAL_DEV,50,0.764481403529644,0.4466238677501679,0.8345713317394257,0.9818804621696472,0.23129633201243646
T3_SLOT1_step2500,DOR_FAKE_DEV,78,0.8644396123977808,0.6869863569736481,0.9281771779060364,0.976411247253418,0.14955142286686968
T3_SLOT1_step2500,DOR_REAL_LOCKBOX,100,0.4979023417644203,0.09068203866481782,0.48149098455905914,0.8724777936935425,0.2749380035708484
T3_SLOT1_step2500,NON_DOR_REAL_DEV,80,0.3265932467766106,0.010832092817872762,0.07407164201140404,0.9727956593036652,0.385040732538062
T3_SLOT1_step2500,NON_DOR_FAKE_DEV,80,0.8719427444273606,0.6181831777095794,0.9897260367870331,0.9924434840679168,0.2418328147912234
