method,label,video_id,avg_video_prob,prediction,is_correct,group_key,family_key
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_0.0__fake,0.74910475,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_1.0__fake,0.76309729,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_10.0__fake,0.75424233,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_100.0__fake,0.67534044,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_101.0__fake,0.73280433,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_102.0__fake,0.72869653,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_103.0__fake,0.70910519,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_104.0__fake,0.83576488,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_105.0__fake,0.76123860,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_106.0__fake,0.79637715,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_107.0__fake,0.75758415,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_108.0__fake,0.75573611,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_109.0__fake,0.75394261,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_11.0__fake,0.86989033,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_110.0__fake,0.75035998,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_111.0__fake,0.79504129,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_112.0__fake,0.85369128,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_113.0__fake,0.78360426,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_114.0__fake,0.80203348,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_115.0__fake,0.83273435,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_116.0__fake,0.85368201,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_117.0__fake,0.71442610,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_118.0__fake,0.71820724,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_119.0__fake,0.76091987,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_12.0__fake,0.80957568,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_120.0__fake,0.84084678,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_121.0__fake,0.77536002,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_122.0__fake,0.73326260,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_123.0__fake,0.78401443,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_124.0__fake,0.69832945,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_125.0__fake,0.82881844,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_126.0__fake,0.72394124,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_127.0__fake,0.82049760,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_128.0__fake,0.65339586,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_129.0__fake,0.77064782,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_13.0__fake,0.62906617,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_130.0__fake,0.78755899,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_131.0__fake,0.74979180,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_132.0__fake,0.68942183,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_133.0__fake,0.72916174,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_134.0__fake,0.67535633,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_135.0__fake,0.66427657,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_136.0__fake,0.72988153,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_137.0__fake,0.61958873,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_138.0__fake,0.71723193,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_139.0__fake,0.56100154,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_14.0__fake,0.72520295,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_140.0__fake,0.57591978,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_141.0__fake,0.72799689,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_142.0__fake,0.68732274,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_143.0__fake,0.84214756,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_144.0__fake,0.87144011,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_145.0__fake,0.86598039,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_146.0__fake,0.89688370,1,1,unknown_fake,unknown_fake
teams_capture_cam_test_s33,1,Cam_Test__s33__seg_147.0__fake,0.77037421,1,1,unknown_fake,unknown_fake
