checkpoint_key,checkpoint_path,threshold,teams_real_all_dev__n_videos,teams_real_all_dev__real_fpr,teams_real_all_dev__fake_recall,teams_real_poor_quality_dev__n_videos,teams_real_poor_quality_dev__real_fpr,teams_real_poor_quality_dev__fake_recall,teams_real_lighting_extreme_dev__n_videos,teams_real_lighting_extreme_dev__real_fpr,teams_real_lighting_extreme_dev__fake_recall,teams_fake_all_dev__n_videos,teams_fake_all_dev__real_fpr,teams_fake_all_dev__fake_recall,visomaster_enhanced_macro_dev__n_videos,visomaster_enhanced_macro_dev__real_fpr,visomaster_enhanced_macro_dev__fake_recall,deeplive_enhanced_dev__n_videos,deeplive_enhanced_dev__real_fpr,deeplive_enhanced_dev__fake_recall,dev_primary_real_fpr,dev_worst_real_stress_fpr,dev_fake_macro_recall
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.736775,3253,0.063634,,923,0.040087,,1401,0.099929,,2409,,0.629307,550,,0.067273,545,,0.684404,0.063634,0.099929,0.460328
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.736925,3253,0.063019,,923,0.040087,,1401,0.099215,,2409,,0.628892,550,,0.067273,545,,0.684404,0.063019,0.099215,0.46019
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.736809,3253,0.063326,,923,0.040087,,1401,0.099929,,2409,,0.628892,550,,0.067273,545,,0.684404,0.063326,0.099929,0.46019
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.736776,3253,0.063634,,923,0.040087,,1401,0.099929,,2409,,0.628892,550,,0.067273,545,,0.684404,0.063634,0.099929,0.46019
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.736988,3253,0.063019,,923,0.040087,,1401,0.099215,,2409,,0.628477,550,,0.065455,545,,0.684404,0.063019,0.099215,0.459445
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737052,3253,0.063019,,923,0.040087,,1401,0.099215,,2409,,0.628061,550,,0.065455,545,,0.684404,0.063019,0.099215,0.459307
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737336,3253,0.063019,,923,0.040087,,1401,0.099215,,2409,,0.627646,550,,0.065455,545,,0.682569,0.063019,0.099215,0.458557
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737366,3253,0.063019,,923,0.040087,,1401,0.099215,,2409,,0.627231,550,,0.065455,545,,0.680734,0.063019,0.099215,0.457807
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737595,3253,0.061789,,923,0.039003,,1401,0.097074,,2409,,0.626816,550,,0.065455,545,,0.680734,0.061789,0.097074,0.457668
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737479,3253,0.062097,,923,0.039003,,1401,0.097074,,2409,,0.626816,550,,0.065455,545,,0.680734,0.062097,0.097074,0.457668
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737433,3253,0.062404,,923,0.039003,,1401,0.097787,,2409,,0.626816,550,,0.065455,545,,0.680734,0.062404,0.097787,0.457668
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737394,3253,0.062711,,923,0.039003,,1401,0.098501,,2409,,0.626816,550,,0.065455,545,,0.680734,0.062711,0.098501,0.457668
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737677,3253,0.061789,,923,0.039003,,1401,0.097074,,2409,,0.626401,550,,0.065455,545,,0.678899,0.061789,0.097074,0.456918
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737729,3253,0.061789,,923,0.039003,,1401,0.097074,,2409,,0.625986,550,,0.065455,545,,0.678899,0.061789,0.097074,0.45678
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738676,3253,0.060252,,923,0.036836,,1401,0.094218,,2409,,0.625571,550,,0.065455,545,,0.678899,0.060252,0.094218,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738618,3253,0.060559,,923,0.03792,,1401,0.094218,,2409,,0.625571,550,,0.065455,545,,0.678899,0.060559,0.094218,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738522,3253,0.060867,,923,0.03792,,1401,0.094932,,2409,,0.625571,550,,0.065455,545,,0.678899,0.060867,0.094932,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738421,3253,0.061174,,923,0.039003,,1401,0.095646,,2409,,0.625571,550,,0.065455,545,,0.678899,0.061174,0.095646,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737857,3253,0.061482,,923,0.039003,,1401,0.09636,,2409,,0.625571,550,,0.065455,545,,0.678899,0.061482,0.09636,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.737847,3253,0.061789,,923,0.039003,,1401,0.097074,,2409,,0.625571,550,,0.065455,545,,0.678899,0.061789,0.097074,0.456642
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738828,3253,0.060252,,923,0.036836,,1401,0.094218,,2409,,0.625156,550,,0.065455,545,,0.678899,0.060252,0.094218,0.456503
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738926,3253,0.059945,,923,0.036836,,1401,0.093505,,2409,,0.624741,550,,0.065455,545,,0.678899,0.059945,0.093505,0.456365
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.738866,3253,0.060252,,923,0.036836,,1401,0.094218,,2409,,0.624741,550,,0.065455,545,,0.678899,0.060252,0.094218,0.456365
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739063,3253,0.059945,,923,0.036836,,1401,0.093505,,2409,,0.624325,550,,0.063636,545,,0.678899,0.059945,0.093505,0.45562
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739367,3253,0.05933,,923,0.036836,,1401,0.092077,,2409,,0.62391,550,,0.063636,545,,0.677064,0.05933,0.092077,0.45487
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739199,3253,0.059637,,923,0.036836,,1401,0.092791,,2409,,0.62391,550,,0.063636,545,,0.677064,0.059637,0.092791,0.45487
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739128,3253,0.059945,,923,0.036836,,1401,0.093505,,2409,,0.62391,550,,0.063636,545,,0.677064,0.059945,0.093505,0.45487
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739373,3253,0.05933,,923,0.036836,,1401,0.092077,,2409,,0.623495,550,,0.063636,545,,0.677064,0.05933,0.092077,0.454732
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739453,3253,0.05933,,923,0.036836,,1401,0.092077,,2409,,0.62308,550,,0.063636,545,,0.675229,0.05933,0.092077,0.453982
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.739654,3253,0.05933,,923,0.036836,,1401,0.092077,,2409,,0.622665,550,,0.061818,545,,0.675229,0.05933,0.092077,0.453237
