identity_id,base_capture_id,source,clean_bucket,clean_prefix,clean_real_frame_count,teams_bucket,teams_prefix,teams_real_frame_count,notes
RD_Radio14,HDTF20260416_00000,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00000/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00000/frames/real/,16,
RD_Radio27,HDTF20260416_00001,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00001/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00001/frames/real/,16,
RD_Radio33,HDTF20260416_00002,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00002/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00002/frames/real/,16,
RD_Radio38,HDTF20260416_00003,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00003/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00003/frames/real/,16,
RD_Radio51,HDTF20260416_00005,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00005/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00005/frames/real/,16,
WDA_BrianSchatz0,HDTF20260416_00006,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00006/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00006/frames/real/,16,
WDA_JoeDonnelly,HDTF20260416_00012,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00012/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00012/frames/real/,16,
WRA_DebFischer2,HDTF20260416_00031,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00031/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00031/frames/real/,16,
WRA_JohnKasich3,HDTF20260416_00036,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00036/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00036/frames/real/,16,
WRA_MarshaBlackburn0,HDTF20260416_00038,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00038/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00038/frames/real/,16,
WRA_PeterRoskam0,HDTF20260416_00041,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00041/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00041/frames/real/,16,
WRA_ReincePriebus,HDTF20260416_00042,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00042/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00042/frames/real/,16,
RD_Radio45,HDTF20260416_00045,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00045/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00045/frames/real/,16,
WDA_CatherineCortezMasto,HDTF20260416_00046,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00046/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00046/frames/real/,16,
WDA_ChrisCoons1,HDTF20260416_00047,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00047/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00047/frames/real/,16,
WDA_DebbieDingell1,HDTF20260416_00049,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00049/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00049/frames/real/,16,
WDA_EricSwalwell,HDTF20260416_00050,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00050/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00050/frames/real/,16,
WRA_CoryGardner,HDTF20260416_00053,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00053/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00053/frames/real/,16,
WRA_DavidVitter,HDTF20260416_00054,hdtf_visomaster_teams,hdtf_visomaster_cropped_frames,samples/HDTF20260416_00054/frames/real/,16,hdtf_visomaster_cropped_frames_teams,samples/HDTF20260416_00054/frames/real/,16,
